source_id,root_label,logical_path,sha256,bytes,role
city_name_lookup,reviewer_repository,04_PROTOCOLS/frozen_inputs/AUXILIARY_UCDB_94_CITY_LOOKUP.csv,eb5ad2cf9e8aca1e593343030b2c724559b73e64f36603785703f966c204c2e6,6248,uc_id-to-city-name join; coordinates independently checked against frozen candidates
external_goes16_hourly_input,reviewer_repository,data/goes16_2019_2021_external_metric/goes_sunset_hourly.parquet,f7d3d9eef5955980a4ffecaa9d49fec53fa3f0ef66cb561c537d547b30d1fd8e,1864193,source-platform input for external calibration membership
candidate_external,reviewer_repository,data/goes17_2019_2021_external_metric/goes_sunset_cities.csv,a056556455efd4a18aa3fbadcde697d4361607cad85377406ae46c72837d85a7,10439,external 75-city candidate metadata
external_goes17_hourly_input,reviewer_repository,data/goes17_2019_2021_external_metric/goes_sunset_hourly.parquet,61e4b55e2744ad7e9c2b2973f48b3acd01b1e8c194ab88cc6b20d7b6a250abd2,1973584,reference-platform input for external calibration membership
intervals_external,reviewer_repository,data/goes17_2019_2021_external_metric/goes_sunset_intervals.csv,3804cf1ec122ff9c5ecf14c9101d7013dcf7574f71ffd29dbb6e0d36d69e994d,320,8 external calibration/validation intervals
frozen_copy_goes18_2022_2024_expansion_frozen_selection,reviewer_repository,data/goes18_2022_2024_expansion/FROZEN_SELECTION.json,5ca2802ccd71b360d050694b673c556201b12078a8646e5fe38d78136378512d,849,byte-for-byte source for GOES18_2022_2024_EXPANSION_FROZEN_SELECTION.json
candidate_expansion,reviewer_repository,data/goes18_2022_2024_expansion/goes_sunset_cities.csv,6a1de5d896e685146a593d48bf7735d25b410274b8c8bd7d6585280909db4376,5564,expansion 43-city candidate metadata
frozen_copy_goes18_2022_2024_original_frozen_selection,reviewer_repository,data/goes18_2022_2024_same_sensor/FROZEN_SELECTION.json,facf69784d1c8c06906ce23429a9f4c3991a435d2b0b73abcee88c4ec9d1b146,700,byte-for-byte source for GOES18_2022_2024_ORIGINAL_FROZEN_SELECTION.json
intervals_2022_2024,reviewer_repository,data/goes18_2022_2024_same_sensor/goes18_2022_2024_intervals.csv,bce78f94621e647a8e0a78e229da3ae3bc4d99e1ec22eaae5a2128becd44ae06,2892,31 fixed historical intervals
candidate_original,reviewer_repository,data/goes18_2022_2024_same_sensor/goes_sunset_cities.csv,771aa2059cb38371d1ee05cbde1f23216ef42834e2c3250730285ac792bd3219,6256,original 51-city candidate metadata
frozen_copy_goes18_2025_expansion_frozen_selection,reviewer_repository,data/goes18_2025_expansion/FROZEN_SELECTION.json,4077fecc62cbf53c70ccaf02c871c8d4bc7f98e86a34802603587d4c211ae331,823,byte-for-byte source for GOES18_2025_EXPANSION_FROZEN_SELECTION.json
frozen_copy_goes18_2025_original_frozen_selection,reviewer_repository,data/goes18_2025_western_replication/FROZEN_SELECTION.json,0e1a5421f2b8e8843b2a14ddee9bf157e07fa63169560fe286260bdb1b43938e,524,byte-for-byte source for GOES18_2025_ORIGINAL_FROZEN_SELECTION.json
frozen_copy_goes18_2026_frozen_selection,reviewer_repository,data/goes18_2026_metric_holdout/FROZEN_SELECTION.json,722d2b3785f1c6c66b04d7cdd0932edb8aa60ecf2eef0ecc9c70f9f94c2f70d1,595,byte-for-byte source for GOES18_2026_FROZEN_SELECTION.json
mask_goes18_2026,reviewer_repository,data/goes18_2026_metric_holdout/goes_city_grid_mask_summary.csv,f4fd09f121c86002bdf56a33722631117bc488f8102fbf92392220a8fa06858b,2489,GOES-18 grid-support counts
candidate_combined,reviewer_repository,data/goes18_2026_metric_holdout/goes_sunset_cities.csv,677625775e326333371f28fa0458129b89fb2291b4f3e90906086962268267f2,13076,combined 94-city candidate metadata
intervals_2026,reviewer_repository,data/goes18_2026_metric_holdout/goes_sunset_intervals.csv,b7529b742bb874e8ffdcb18716482e8f06b1a57d705e5dc21569c8cbaf78c3f5,311,8 prospective 2026 intervals
intervals_2025,reviewer_repository,data/goes19_2025_holdout/goes19_2025_intervals.csv,98345a66bda10728ed01302ebe498e104b1126abdc1060cd7e34e14dd67fa16a,955,10 fixed 2025 intervals
